timestamp,gpus,N,wbits,mode,check,audit,predicted_core_sum_ms,measured_staged_window_sum_ms,predicted_latency_ms,actual_gpu_time_ms,core_relative_error_pct,full_relative_error_pct,stage_ratio_pack,stage_ratio_compute,stage_ratio_merge,stage_ratio_suffix,setup_time_ms,warmup_window_time_ms,window_total_time_sum_ms,finalize_time_ms,reconstruction_gap_ms
2026-04-06_09-49-23,2,20000,8,1,0,1,509.689,943.591,943.995,1377.9,85.1307,45.9648,1.16926,,,,4841.13,46.2087,1089.37,0.863178,0.66654
2026-04-06_09-49-32,2,20000,8,1,0,1,721.841,944.889,946.768,1169.82,30.8999,23.5593,1.15926,,,,4818.13,46.4525,1089.9,0.874583,0.65721
2026-04-06_09-49-23,2,100000,8,1,0,1,906.953,660.461,906.953,660.461,-27.178,-27.178,1.25424,,,,23911,41.0767,769.802,1.07409,0.699845
2026-04-06_09-49-32,2,100000,8,1,0,1,626.933,1024.76,1032.69,1430.52,63.4561,38.5237,1.25826,,,,23933,59.196,1252.88,1.06229,0.681758
2026-04-06_09-49-23,2,200000,6,1,0,1,664.359,509.835,664.359,509.835,-23.2591,-23.2591,1.21465,,,,47637,41.5186,778.416,1.26962,1.01383
2026-04-06_09-49-32,2,200000,6,1,0,1,656.697,722.185,802.565,868.053,9.97233,8.15984,1.23822,,,,47505.6,52.9918,1094.02,1.21978,0.924496
2026-04-06_09-49-23,2,200000,10,1,0,1,1289.83,1875.48,1905.59,2491.24,45.4052,30.7333,1.17456,,,,47323.5,107.46,2059.83,1.17422,0.910308
2026-04-06_09-49-32,2,200000,10,1,0,1,1279.02,2762.96,2017.37,3501.32,116.022,73.5586,1.16626,,,,47320.6,148.781,3029.98,1.18146,0.934591
2026-04-06_09-49-23,2,2000,1,1,1,1,474.963,1170.31,1171.51,1866.86,146.4,59.355,1.01165,,,,519.213,21.856,2846.33,1986.8,5.43233
2026-04-06_09-49-32,2,2000,1,1,1,1,708.618,1170.54,1171.67,1633.6,65.1863,39.4249,0.990863,,,,518.446,21.8492,2846.34,1980.94,5.34608
2026-04-06_09-49-23,2,2000,6,1,1,1,181.669,453.768,454.156,726.254,149.777,59.9129,0.914507,,,,519.253,31.9894,916.117,1981.49,0.961055
2026-04-06_09-49-32,2,2000,6,1,1,1,199.78,444.354,445.256,689.831,122.422,54.9291,0.894936,,,,518.427,32.0263,907.127,1982.22,0.983149
2026-04-06_09-49-23,2,2000,8,1,1,1,798.399,931.087,932.311,1065,16.6193,14.2323,0.597932,,,,517.995,54.1557,1327.22,1977.14,0.821556
2026-04-06_09-49-32,2,2000,8,1,1,1,794.33,928.981,930.11,1064.76,16.9515,14.4768,0.606609,,,,518.428,52.0675,1319.05,1984.75,0.829714
2026-04-06_09-49-23,2,2000,10,1,1,1,1690.69,2536.69,2440.69,3286.69,50.0387,34.6623,0.306308,,,,526.188,128.798,2925.03,1984.51,1.04068
2026-04-06_09-49-32,2,2000,10,1,1,1,1640.43,2536.64,2390.43,3286.64,54.6326,37.4916,0.305425,,,,524.727,126.625,2924.57,1989.2,1.04649
2026-04-06_09-49-23,2,2000,16,1,1,1,2204.51,79336.8,2684.51,79816.8,3498.84,2873.24,0.155955,,,,517.025,4569.38,83333.7,1988.56,22.7
2026-04-06_09-49-32,2,2000,16,1,1,1,1930.16,72351.8,2410.16,72831.8,3648.49,2921.87,0.155629,,,,502.504,5582,76263.3,1893.4,22.4763
