win,points,buckets,obj,pred_lat,pred_tp,act,max_cost,avg_cost,pred_gpu_max,pred_gpu_sum,pred_h2d_max,pred_comp_max,pred_mem_max,pred_h2d_sum,pred_comp_sum,pred_mem_sum,pred_reduction,pred_overhead
0,9959,255,tp,0.0346013,287821,0.0178593,6.18158e-06,5.90654e-06,0.00716241,0.0143246,8.99445e-05,0.00705093,2.1536e-05,0.000179637,0.0141019,4.306e-05,2e-06,0.00324062
1,9956,255,tp,0.0312528,318563,0.0178735,6.26931e-06,5.90639e-06,0.00716241,0.0143245,8.99445e-05,0.00705093,2.1536e-05,0.0001796,0.0141019,4.306e-05,2e-06,0.00325495
2,9953,255,tp,0.0285768,348289,0.0178803,6.09385e-06,5.90624e-06,0.00716237,0.0143245,8.99085e-05,0.00705093,2.1536e-05,0.000179565,0.0141019,4.306e-05,2e-06,0.00326182
3,9960,255,tp,0.0264378,376733,0.0178947,6.11891e-06,5.90659e-06,0.00716241,0.0143246,8.99445e-05,0.00705093,2.1536e-05,0.000179649,0.0141019,4.306e-05,2e-06,0.00327598
4,9968,255,tp,0.0247295,403081,0.0179051,6.13145e-06,5.90698e-06,0.00716246,0.0143247,8.99925e-05,0.00705093,2.1536e-05,0.000179744,0.0141019,4.306e-05,2e-06,0.00328601
5,9960,255,tp,0.0233643,426291,0.0178855,6.08131e-06,5.90659e-06,0.00716242,0.0143246,8.99565e-05,0.00705093,2.1536e-05,0.000179648,0.0141019,4.306e-05,2e-06,0.00326679
6,9958,255,tp,0.0222685,447179,0.0178783,6.10638e-06,5.90649e-06,0.00716236,0.0143245,8.98965e-05,0.00705093,2.1536e-05,0.000179625,0.0141019,4.306e-05,2e-06,0.00325959
7,9968,255,tp,0.0213908,465994,0.0178726,6.14398e-06,5.90698e-06,0.00716248,0.0143247,9.00165e-05,0.00705093,2.1536e-05,0.000179744,0.0141019,4.306e-05,2e-06,0.00325354
8,9951,255,tp,0.0206865,481038,0.0178878,6.10638e-06,5.90614e-06,0.00716237,0.0143245,8.99085e-05,0.00705093,2.1536e-05,0.000179541,0.0141019,4.306e-05,2e-06,0.00326944
9,9974,255,tp,0.0201277,495536,0.01786,6.13145e-06,5.90727e-06,0.00716251,0.0143247,9.00405e-05,0.00705093,2.1536e-05,0.000179817,0.0141019,4.306e-05,2e-06,0.00324072
10,9952,255,tp,0.0196733,505864,0.0178845,6.10638e-06,5.90619e-06,0.00716237,0.0143245,8.99085e-05,0.00705093,2.1536e-05,0.000179552,0.0141019,4.306e-05,2e-06,0.00326611
11,9955,255,tp,0.0193156,515385,0.0178866,6.09385e-06,5.90634e-06,0.00716239,0.0143245,8.99205e-05,0.00705093,2.1536e-05,0.000179589,0.0141019,4.306e-05,2e-06,0.00326802
12,9958,255,tp,0.01903,523280,0.0178691,6.15651e-06,5.90649e-06,0.00716241,0.0143245,8.99445e-05,0.00705093,2.1536e-05,0.000179624,0.0141019,4.306e-05,2e-06,0.00325044
13,9970,255,tp,0.0187983,530368,0.0178845,6.13145e-06,5.90708e-06,0.00716251,0.0143247,9.00405e-05,0.00705093,2.1536e-05,0.000179769,0.0141019,4.306e-05,2e-06,0.00326531
14,9963,255,tp,0.0186152,535207,0.0178415,6.09385e-06,5.90673e-06,0.00716245,0.0143246,8.99805e-05,0.00705093,2.1536e-05,0.000179685,0.0141019,4.306e-05,2e-06,0.00322267
15,9970,255,tp,0.0184608,540064,0.0178561,6.19411e-06,5.90708e-06,0.00716245,0.0143247,8.99805e-05,0.00705093,2.1536e-05,0.000179768,0.0141019,4.306e-05,2e-06,0.00323697
16,9950,255,tp,0.018339,542559,0.0178402,6.19411e-06,5.90609e-06,0.00716237,0.0143244,8.99085e-05,0.00705093,2.1536e-05,0.000179528,0.0141019,4.306e-05,2e-06,0.00322181
17,9958,255,tp,0.0182396,545956,0.0178886,6.14398e-06,5.90649e-06,0.00716241,0.0143245,8.99445e-05,0.00705093,2.1536e-05,0.000179624,0.0141019,4.306e-05,2e-06,0.00326989
18,9975,255,tp,0.0181701,548980,0.0178205,6.14398e-06,5.90732e-06,0.00716253,0.0143247,9.00645e-05,0.00705093,2.1536e-05,0.000179828,0.0141019,4.306e-05,2e-06,0.00320113
19,9973,255,tp,0.0181001,550993,0.0178296,6.15651e-06,5.90723e-06,0.00716249,0.0143247,9.00285e-05,0.00705093,2.1536e-05,0.000179804,0.0141019,4.306e-05,2e-06,0.00321029
20,9952,255,tp,0.0180451,551507,0.0178452,6.18158e-06,5.90619e-06,0.00716235,0.0143245,8.98845e-05,0.00705093,2.1536e-05,0.000179552,0.0141019,4.306e-05,2e-06,0.00322677
21,9956,255,tp,0.0180053,552949,0.0178332,6.10638e-06,5.90639e-06,0.00716242,0.0143245,8.99565e-05,0.00705093,2.1536e-05,0.0001796,0.0141019,4.306e-05,2e-06,0.0032146
22,9968,255,tp,0.0179714,554661,0.0178344,6.11891e-06,5.90698e-06,0.00716245,0.0143247,8.99805e-05,0.00705093,2.1536e-05,0.000179744,0.0141019,4.306e-05,2e-06,0.00321537
23,9968,255,tp,0.017944,555507,0.0178711,6.19411e-06,5.90698e-06,0.00716248,0.0143247,9.00165e-05,0.00705093,2.1536e-05,0.000179744,0.0141019,4.306e-05,2e-06,0.00325203
24,9948,255,tp,0.0179286,554868,0.0178646,6.10638e-06,5.906e-06,0.00716236,0.0143244,8.98965e-05,0.00705093,2.1536e-05,0.000179504,0.0141019,4.306e-05,2e-06,0.00324637
25,9968,255,tp,0.0179166,556356,0.0178827,6.13145e-06,5.90698e-06,0.00716248,0.0143247,9.00165e-05,0.00705093,2.1536e-05,0.000179744,0.0141019,4.306e-05,2e-06,0.00326364
26,9964,255,tp,0.0179097,556348,0.0178456,6.09385e-06,5.90678e-06,0.00716247,0.0143246,9.00045e-05,0.00705093,2.1536e-05,0.000179696,0.0141019,4.306e-05,2e-06,0.0032267
27,9958,255,tp,0.0178966,556418,0.0178821,6.20665e-06,5.90649e-06,0.00716242,0.0143245,8.99565e-05,0.00705093,2.1536e-05,0.000179624,0.0141019,4.306e-05,2e-06,0.00326342
28,9957,255,tp,0.0178937,556454,0.0178121,6.15651e-06,5.90644e-06,0.00716239,0.0143245,8.99205e-05,0.00705093,2.1536e-05,0.000179613,0.0141019,4.306e-05,2e-06,0.00319344
29,9946,255,tp,0.0178769,556360,0.0179004,6.15651e-06,5.9059e-06,0.00716234,0.0143244,8.98725e-05,0.00705093,2.1536e-05,0.00017948,0.0141019,4.306e-05,2e-06,0.00328223
30,9965,255,tp,0.0178824,557253,0.0178808,6.14398e-06,5.90683e-06,0.00716246,0.0143246,8.99925e-05,0.00705093,2.1536e-05,0.000179709,0.0141019,4.306e-05,2e-06,0.00326188
31,9785,48,tp,0.00846068,1.15653e+06,0.00395551,8.47517e-06,7.97201e-06,0.00245979,0.00491864,8.91965e-05,0.00235031,2.0288e-05,0.000177445,0.00470062,4.0576e-05,2e-06,0
