win,points,buckets,obj,pred_lat,pred_tp,act,max_cost,avg_cost,pred_gpu_max,pred_gpu_sum,pred_h2d_max,pred_comp_max,pred_mem_max,pred_h2d_sum,pred_comp_sum,pred_mem_sum,pred_reduction,pred_overhead
0,2000,1975,tp,0.146193,13680.5,5.35802,7.70755e-06,7.69518e-06,0.0600916,0.120183,4.24945e-05,0.0600173,3.1856e-05,8.49885e-05,0.120035,6.37e-05,2e-06,0.03
1,2000,1964,tp,0.147153,13591.3,5.39222,7.70755e-06,7.69525e-06,0.0600915,0.120183,4.24915e-05,0.0600173,3.1784e-05,8.4983e-05,0.120035,6.3568e-05,2e-06,0.03
2,2000,1966,tp,0.147921,13520.8,5.40683,7.72008e-06,7.69523e-06,0.0600916,0.120183,4.2492e-05,0.0600173,3.1796e-05,8.4984e-05,0.120035,6.3592e-05,2e-06,0.03
3,2000,1972,tp,0.148536,13464.8,5.44045,7.70755e-06,7.6952e-06,0.0600916,0.120183,4.24935e-05,0.0600173,3.1832e-05,8.4987e-05,0.120035,6.3664e-05,2e-06,0.03
4,2000,1968,tp,0.149027,13420.4,5.47538,7.70755e-06,7.69522e-06,0.0600916,0.120183,4.24925e-05,0.0600173,3.1808e-05,8.4985e-05,0.120035,6.3616e-05,2e-06,0.03
5,2000,1967,tp,0.14942,13385.1,5.5104,7.70755e-06,7.69523e-06,0.0600916,0.120183,4.24925e-05,0.0600173,3.1808e-05,8.49845e-05,0.120035,6.3604e-05,2e-06,0.03
6,1999,1963,tp,0.149734,13350.3,5.54024,7.70755e-06,7.69525e-06,0.0600915,0.120183,4.24915e-05,0.0600173,3.1784e-05,8.49705e-05,0.120035,6.3556e-05,2e-06,0.03
7,2000,1966,tp,0.149986,13334.6,5.55028,7.70755e-06,7.69523e-06,0.0600916,0.120183,4.2492e-05,0.0600173,3.1796e-05,8.4984e-05,0.120035,6.3592e-05,2e-06,0.03
8,2000,1968,tp,0.150188,13316.7,5.56613,7.70755e-06,7.69522e-06,0.0600916,0.120183,4.24925e-05,0.0600173,3.1808e-05,8.4985e-05,0.120035,6.3616e-05,2e-06,0.03
9,2000,1974,tp,0.150349,13302.4,5.57631,7.70755e-06,7.69518e-06,0.0600916,0.120183,4.2494e-05,0.0600173,3.1844e-05,8.4988e-05,0.120035,6.3688e-05,2e-06,0.03
10,2000,1972,tp,0.150478,13291,5.58526,7.72008e-06,7.6952e-06,0.0600916,0.120183,4.24935e-05,0.0600173,3.1832e-05,8.4987e-05,0.120035,6.3664e-05,2e-06,0.03
11,1999,1978,tp,0.150581,13275.2,3.08539,7.70755e-06,7.69515e-06,0.0600916,0.120183,4.2495e-05,0.0600173,3.1868e-05,8.4978e-05,0.120035,6.3736e-05,2e-06,0.03
12,2000,1976,tp,0.150664,13274.6,2.76278,7.70755e-06,7.69517e-06,0.0600916,0.120183,4.24945e-05,0.0600173,3.1856e-05,8.4989e-05,0.120035,6.3712e-05,2e-06,0.03
13,2000,1964,tp,0.150729,13268.9,2.76186,7.73262e-06,7.69525e-06,0.0600915,0.120183,4.24915e-05,0.0600173,3.1784e-05,8.4983e-05,0.120035,6.3568e-05,2e-06,0.03
14,2000,1970,tp,0.150782,13264.2,2.76264,7.70755e-06,7.69521e-06,0.0600916,0.120183,4.2493e-05,0.0600173,3.182e-05,8.4986e-05,0.120035,6.364e-05,2e-06,0.03
15,2000,1834,tp,0.1451,13783.6,0.577824,7.72008e-06,7.69615e-06,0.0572328,0.114466,4.2459e-05,0.0571593,3.1004e-05,8.4918e-05,0.114319,6.2008e-05,2e-06,0.03
